"","hy.id","c.ranef","c.ranef.sd","c.blups","c.expontd.blups","n.ranef","n.ranef.sd","n.blups","n.expontd.blups","g.ranef","g.ranef.sd","g.blups","g.expontd.blups","n.fas","sex","avg.cub.mins","sd.cub.mins","avg.mom.mins","sd.mom.mins","avg.overlap","sd.overlap","avg.c.mins","sd.c","prop.c","avg.n.mins","sd.n","prop.n","avg.g.mins","sd.g","prop.g","first.fas.date","last.fas.date","fas.format","first.fas.age.mon","last.fas.age.mon","first.fas.yr","dob","dob.yr","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","mom","dad","number.littermates","litrank","mom.parity","mom.parity.binary","mom.cub1","mom.cub2","fas.durtn.mon"
"54","mchl",0.152942826926999,0.125521264341338,-0.00268536378178555,0.997318238582261,0.0894011537947144,0.114281115649753,-0.524661837943159,0.591755439772613,-0.480633988949338,0.651276134222785,-2.61928893459089,0.0728546488343131,6,"m",25.33,7.55,25.33,7.55,24.83,8.57,23.5,11.47,0.95,19.67,11,0.79,0,0,0,2013-05-09,2013-07-24,"new",5.7,8.2,2013,"2012-11-17",2012,"","serena.n",NA,"","2013-02-09","","",NA,"",NA,"","",NA,"","2013-10-18","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-08-31","dls","",NA,"","ele",NA,"twin","1",NA,NA,NA,NA,2.5
"55","mino",0.0415286485379006,0.155078224931377,-0.114099542170884,0.892169143008878,-0.199241861406259,0.169524286339924,-0.813304853144133,0.443390302352029,-0.0752996192299612,0.748793371633377,-2.21395456487152,0.109267686836275,2,"m",24,4.24,23,5.66,23,5.66,17,11.31,0.74,5,7.07,0.22,0,0,0,2012-09-06,2012-09-17,"new",10.7,11.1,2012,"2011-10-16",2011,"","talek",NA,"","2011-12-11","","",NA,"","2012-06-22","","",1,"","2012-11-29","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-11-20","dls","dispersed",NA,"","pan",NA,"twin","1","e","mult","mino","styr",0.36
"56","moji",0.0203033244317381,0.154801492424446,-0.135324866277046,0.873432116952774,-0.158911686349772,0.164686552210705,-0.772974678087645,0.461637799987016,-0.117760888263103,0.735671037416118,-2.25641583390466,0.104725165281773,2,"f",18.5,16.26,19,16.97,18.5,16.26,14,11.31,0.76,7.5,10.61,0.41,0,0,0,2013-05-22,2013-07-31,"new",8.1,10.4,2013,"2012-09-17",2012,"","happy.zebra",NA,"","2013-02-02","","",NA,"","2013-07-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-09-26","","",12.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-11-11","dls","double check: alive but with disappeared date",NA,"","snap",NA,"single",NA,NA,NA,NA,NA,2.3
"57","nali",-0.0966388608893636,0.151766495864281,-0.252267051598148,0.777037201332235,0.0374992859761633,0.159789112917832,-0.57656370576171,0.561825651559151,-0.179664111272507,0.717666981774809,-2.31831905691406,0.0984389168258706,3,"m",32.67,1.53,31,2,31,2,11.33,17.1,0.37,9.67,16.74,0.31,0,0,0,2012-07-31,2012-11-03,"new",8.9,12,2012,"2011-11-04",2011,"","serena.s",NA,"","2011-12-05","","",NA,"","2012-05-22","","",NA,"dengrad info not in table, instead taken from tblhyenas","2012-10-05","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","clov",NA,"single",NA,NA,NA,NA,NA,3.12
"58","natg",0.157071639382971,0.13609754797491,0.00144344867418708,1.00144449094765,-0.0920345285987354,0.124554211622449,-0.706097520336609,0.493566577528024,-0.290753842218517,0.689560902000487,-2.42940878786007,0.0880888964154244,4,"m",30.5,4.36,30.75,4.5,30.5,4.36,27.75,6.08,0.91,20,5.35,0.66,0,0,0,2012-08-19,2012-10-31,"new",8.1,10.5,2012,"2011-12-17",2011,"","happy.zebra",NA,"","2012-03-10","","",NA,"","2012-10-08","","",NA,"dengrad info not in table, instead taken from tblhyenas","2012-12-11","error","",42.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-01-21","dls","double check: alive but with disappeared date",NA,"","hwk",NA,NA,NA,NA,NA,NA,NA,2.4
"59","odd",0.0882310447648833,0.150190556955879,-0.067397145943901,0.934823866097833,0.00847099628330185,0.141211358842766,-0.605591995454572,0.545751248730646,-0.161828531761565,0.722369326808158,-2.30048347740312,0.100210382553285,2,"f",32.5,0.71,34.5,3.54,32.5,0.71,28,5.66,0.86,25.5,9.19,0.78,0,0,0,2012-09-22,2012-10-19,"new",8.6,9.5,2012,"2012-01-03",2012,"","talek",NA,"","2012-03-06","","",NA,"","2012-09-14","","",1,"","2013-04-13","error","",157,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","mgta",NA,"twin","1","a","prim","odd","tgpi",0.89
"60","ppch",-0.273866060150443,0.147790072607018,-0.429494250859227,0.650838172347386,-0.0850064817861957,0.144046093574303,-0.699069473524069,0.497047604622369,-0.480450739893997,0.654372361462306,-2.61910568553555,0.0728680006032014,5,"m",26,8.25,26.8,7.6,25.8,8.17,10.6,11.06,0.41,8,11.05,0.31,0,0,0,2012-12-27,2013-04-06,"new",4.6,7.9,2012,"2012-08-08",2012,"","talek",NA,"","2012-09-18","","",NA,"",NA,"dbg","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-07-27","dls","inferred dead",NA,"","cart",NA,NA,NA,"c","mult","kopa","ppch",3.29
"61","prde",0.0384770364325656,0.162768322948171,-0.117151154276219,0.889450738719342,0.0455300513168778,0.169666097544076,-0.568532940420996,0.566355707089236,-0.127826316219368,0.732575574022817,-2.26648126186093,0.103676348923036,1,"f",21,NA,21,NA,21,NA,21,NA,1,20,NA,0.95,0,NA,0,2013-04-28,2013-04-28,"new",6,6,2013,"2012-10-28",2012,"","talek",NA,"","2013-02-23","","",NA,"",NA,"dbg","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-07-24","dls","inferred dead",NA,"","arg",NA,"twin",NA,"d","mult","prde","wrth",0
"62","rama",-0.223831037003327,0.142136218100149,-0.379459227712112,0.684231322521633,-0.258150078393575,0.160278866194158,-0.872213070131448,0.418025405276252,0.752796828051699,0.586951173710421,-1.38585811758986,0.25010908467452,4,"f",27,8.68,27.25,8.88,27,8.68,11.25,7.41,0.42,5.5,9.11,0.2,1.5,1.29,0.06,2013-07-11,2013-07-30,"new",6,6.7,2013,"2013-01-08",2013,"","serena.n",NA,"","2013-05-06","","",NA,"","2013-09-29","","",NA,"dengrad info not in table, instead taken from tblhyenas","2014-04-07","","",2.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","tnsl",NA,"single",NA,NA,NA,NA,NA,0.62
"63","rast",0.0750584754385143,0.157160728820443,-0.08056971527027,0.922590582689888,-0.117197762909912,0.154195082022895,-0.731260754647785,0.481301803927952,0.562087635466624,0.789264946243418,-1.57656731017493,0.206683361757777,2,"f",22,12.73,22,12.73,22,12.73,19,12.73,0.86,13,4.24,0.59,2,2.83,0.09,2012-08-24,2012-10-24,"new",8.6,10.6,2012,"2011-12-05",2011,"","serena.s",NA,"","2012-01-23","","",NA,"",NA,"","",NA,"","2012-10-30","","",6,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-01-27","dls","double check: alive but with disappeared date",NA,"","slin",NA,"twin","1",NA,NA,NA,NA,2
"64","rmon",0.0551654580098706,0.111148330865441,-0.100462732698914,0.904418817033089,0.0188666319479473,0.0996111996174145,-0.595196359789926,0.551454271790914,0.711560753335565,0.449547106754518,-1.42709419230599,0.240005319259143,7,"f",30.71,2.75,31.43,2.88,30.71,2.75,26.29,9.18,0.86,25,8.5,0.81,1.14,1.07,0.04,2013-02-08,2013-07-30,"new",4.3,10,2013,"2012-09-30",2012,"","serena.n",NA,"","2012-12-14","","",NA,"","2013-06-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-11-11","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","arro",NA,"twin","1","b","mult","strm","rmon",5.65
"65","rxp",0.144348476035551,0.11840375817708,-0.0112797146732329,0.988783662791262,0.146381430830089,0.108311763685085,-0.467681560907784,0.626452979016633,-0.372332928908324,0.562388451891629,-2.51098787454988,0.0811879960572572,8,"f",20.25,10.71,21.5,9.24,20.25,10.71,19.88,10.96,0.98,18.25,9.97,0.9,0.12,0.35,0.01,2013-02-27,2013-07-03,"new",3.1,7.2,2013,"2012-11-25",2012,"","talek",NA,"","2013-01-23","","",NA,"","2013-08-06","","",0.5,"","2013-11-02","","",12.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-12-26","dls","inferred dead",NA,"","loki",NA,"twin",NA,"c","mult","rxp","tato",4.14
"66","slim",-0.190406241143877,0.157475286939767,-0.346034431852661,0.707488126560181,-0.0837668721319127,0.173805000736154,-0.697829863869786,0.497664131679195,-0.365011507753314,0.672687401009964,-2.50366645339487,0.0817845888577606,4,"m",20.25,7.37,24.5,6.19,20.25,7.37,6.25,4.65,0.31,2,4,0.1,0,0,0,2013-07-07,2013-08-01,"new",5.7,6.5,2013,"2013-01-14",2013,"","serena.n",NA,"","2013-03-15","","",NA,"",NA,"","",NA,"","2013-11-29","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-10-09","dls","dispersed",NA,"","ink",NA,"twin","1",NA,NA,NA,NA,0.82
"67","spcd",-0.0433955000531496,0.114960351790763,-0.199023690761934,0.819530477801495,0.19640617858564,0.123642790642058,-0.417656813152233,0.658588208457159,-0.0161045354051414,0.506972947088096,-2.1547594810467,0.115931070879701,7,"m",29.14,6.67,33.71,9.76,29.14,6.67,22.29,13.41,0.76,15.57,15.6,0.53,1.14,2.27,0.04,2012-08-04,2013-02-04,"new",2,8,2012,"2012-06-04",2012,"","serena.n",NA,"","2012-07-07","","",NA,"",NA,"","",NA,"","2013-08-04","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-08-21","dls","",NA,"","sau",NA,"twin",NA,NA,NA,NA,NA,6.04
"68","spng",0.0799673112669189,0.117644402502424,-0.0756608794418654,0.927130562287871,0.130815958896781,0.109926405441076,-0.483247032841092,0.616777440269116,-0.174527786740228,0.516584502903735,-2.31318273238179,0.0989458317746931,6,"m",27,5.29,27.17,5.31,26.83,5.19,24.5,5.68,0.91,23.5,5.82,0.88,0.33,0.52,0.01,2013-02-26,2013-06-09,"new",3.8,7.2,2013,"2012-11-03",2012,"","talek",NA,"","2012-12-01","","",NA,"","2013-08-08","","",0.5,"","2013-09-22","","",7.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-01-01","dls","dispersed",NA,"","amaz",NA,"twin",NA,"b","mult","bncl","spng",3.38
"69","spud",-0.167737127544161,0.154551880084018,-0.323365318252946,0.723709421808221,-0.384400396759705,0.173908721839118,-0.998463388497578,0.368445163488647,-0.170063803287618,0.719885513113258,-2.30871874892917,0.0993885116531542,2,"f",27.5,2.12,31.5,3.54,27.5,2.12,8.5,7.78,0.31,5,4.24,0.18,0,0,0,2013-07-10,2013-07-17,"new",8.1,8.3,2013,"2012-11-06",2012,"","serena.n",NA,"","2013-03-15","","",NA,"",NA,"","",NA,"","2013-09-16","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-11-28","dls","double check: alive but with disappeared date",NA,"","hndy",NA,"single",NA,"b","mult","spud",NA,0.23
"70","star",-0.196495732922345,0.128551024563891,-0.35212392363113,0.703192974349861,-0.0482382816963161,0.143129044874844,-0.662301273434189,0.515663285782986,-0.0168366935268146,0.531479991269298,-2.15549163916837,0.115846222069765,9,"m",18.44,9.28,18,9.77,16.89,9.78,8.89,9.91,0.53,5.44,11.06,0.32,0.22,0.44,0.01,2012-11-14,2013-07-22,"new",3.8,12,2012,"2012-07-22",2012,"","serena.s",NA,"","2012-09-09","","",NA,"","2013-02-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-15","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","taj",NA,"twin","1",NA,NA,NA,NA,8.21
"71","strm",0.0954543094988046,0.107485420449154,-0.0601738812099797,0.94160079266378,0.00259616378971139,0.0969662620633031,-0.611466827948162,0.542554451080966,-0.461898817994917,0.552986175436715,-2.60055376363647,0.0742324595936172,8,"m",29.5,7.15,30.12,5.41,29.5,7.15,26.25,7.17,0.89,23.25,9.53,0.79,0.12,0.35,0,2013-02-08,2013-07-30,"new",4.3,10,2013,"2012-09-30",2012,"","serena.n",NA,"","2012-11-27","","",NA,"","2013-06-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-11-11","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-01-12","dls","double check: alive but with disappeared date",NA,"","arro",NA,"twin",NA,"b","mult","strm","rmon",5.65
"72","styr",0.0572647108801694,0.147000052132298,-0.098363479828615,0.906319415050647,0.0149379009356578,0.159484704862893,-0.599125090802216,0.54929200655192,-0.166577284810566,0.721484580384374,-2.30523223045212,0.0997356363120765,5,"f",22.4,13.72,23.2,12.52,22.4,13.72,13,17.35,0.58,6.2,13.86,0.28,0,0,0,2012-09-04,2012-09-23,"new",10.6,11.3,2012,"2011-10-16",2011,"","talek",NA,"","2011-12-11","","",NA,"","2012-06-29","","",2.5,"","2012-10-27","","",3,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","pan",NA,"twin","2","e","mult","mino","styr",0.62
"73","sula",-0.212186284211024,0.0985989652931799,-0.367814474919808,0.692245598696285,-0.154852318333736,0.118678401974612,-0.76891531007161,0.463515566401179,-0.121612238433612,0.39971418474036,-2.26026718407517,0.104322607691322,16,"m",26.06,7.93,29.56,9.74,25.62,7.95,15.56,9.9,0.61,6.19,9.71,0.24,0.94,2.05,0.04,2012-10-24,2013-07-17,"new",2.9,11.6,2012,"2012-07-28",2012,"","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","java",NA,"single",NA,NA,NA,NA,NA,8.74
"74","swag",-0.0280636917396579,0.12471441943113,-0.183691882448442,0.832192177344162,-0.0616451660774264,0.129483755521702,-0.6757081578153,0.508795985146743,0.43121217473823,0.604316095562416,-1.70744277090333,0.181328899767765,5,"m",31.8,2.49,32.6,1.34,31.8,2.49,21,10.56,0.66,13.8,13.59,0.43,0.6,0.89,0.02,2013-05-19,2013-08-02,"new",6.8,9.3,2013,"2012-10-23",2012,"","happy.zebra",NA,"","2013-01-05","","",NA,"","2013-08-05","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-26","","",8,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-06-30","dls","double check: alive but with disappeared date",NA,"","boom",NA,"twin","1",NA,NA,NA,NA,2.46
"75","tato",0.126491560443616,0.122026429673259,-0.0291366302651686,0.971283748644181,0.130676289093822,0.112142149852854,-0.483386702644051,0.616691301101224,0.449922910782893,0.515061792756734,-1.68873203485866,0.184753636709324,5,"f",29.6,4.83,29.6,4.83,29.6,4.83,29,4.53,0.98,26.6,5.68,0.9,1.4,1.67,0.05,2013-03-23,2013-07-03,"new",3.9,7.2,2013,"2012-11-25",2012,"","talek",NA,"","2013-01-23","","",NA,"","2013-08-06","","",0,"","2013-11-02","","",12.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","loki",NA,"twin",NA,"c","mult","rxp","tato",3.35
"76","tgpi",0.0950795165735867,0.147323825910451,-0.0605486741351976,0.941247953473257,0.0612965732067701,0.142173413063798,-0.552766418531103,0.575355931418188,0.344095450628399,0.705494859938765,-1.79455949501316,0.166200648438481,3,"f",23.67,11.37,23.67,11.37,23.67,11.37,21,14.42,0.89,18.33,16.8,0.77,1,1.73,0.04,2012-09-12,2012-10-19,"new",8.3,9.5,2012,"2012-01-03",2012,"","talek",NA,"","2012-03-06","","",NA,"","2012-09-14","","",0,"","2012-12-18","error","",41,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","mgta",NA,"twin","2","a","prim","odd","tgpi",1.22
"77","tica",-0.00908260678109839,0.113630515680751,-0.164710797489883,0.848138952536975,0.0722576541052839,0.106833391039134,-0.541805337632589,0.581697144111789,-0.721854526563701,0.616980182875434,-2.86050947220526,0.0572395908550154,9,"m",21.56,6.39,21.67,6.08,21.22,6.36,16.56,8.89,0.78,15.89,9.2,0.75,0,0,0,2012-12-20,2013-06-23,"new",2.5,8.6,2012,"2012-10-04",2012,"","talek",NA,"","2012-11-04","","",NA,"","2013-07-29","","",1,"","2013-08-28","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-01-25","dls","dispersed",NA,"","hel",NA,"twin","2","f","mult","chle","tica",6.08
"78","tnks",0.134540621157836,0.11092083439469,-0.0210875695509483,0.979133218558877,0.290251490601981,0.107879840180753,-0.323811501135892,0.723386587079003,1.3332447567507,0.397901920222328,-0.805410188890862,0.446904573665874,8,"f",28.12,7.02,27.75,7.63,27.75,7.63,26.62,8.14,0.96,24.88,9.06,0.9,5.62,5.21,0.2,2013-06-14,2013-08-12,"new",3,4.9,2013,"2013-03-15",2013,"","talek",NA,"","2013-05-14","","",NA,"","2014-01-03","","",8.5,"","2013-11-27","","",2.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","alfe",NA,"single",NA,"a","prim","tnks",NA,1.94
"79","trni",-0.206647658175869,0.0942506898673259,-0.362275848884653,0.696090325615733,-0.309752311343802,0.105531694538069,-0.923815303081675,0.397001467002379,0.127231119411322,0.394549663732157,-2.01142382623024,0.133798033831177,20,"m",25.9,9.51,26.6,9.56,25.85,9.52,14.9,11.71,0.58,7.6,10.41,0.29,1,2.25,0.04,2012-07-12,2013-08-02,"new",0.3,12.9,2012,"2012-07-04",2012,"","serena.n",NA,"","2012-07-12","","",NA,"","2013-02-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","",NA,"","wafl",NA,"single",NA,NA,NA,NA,NA,12.68
"80","uzi",0.159795477741842,0.116144368592816,0.00416728703305816,1.00417598224796,0.0737551616267192,0.104807457740755,-0.540307830111154,0.582568892522284,1.39626985422102,0.450769987453162,-0.742385091420537,0.475977311205919,6,"m",30.83,2.64,31.33,2.73,30.83,2.64,30.17,2.32,0.98,26,8.29,0.84,4.33,2.88,0.14,2012-11-22,2013-05-17,"new",3.1,8.8,2012,"2012-08-21",2012,"","serena.n",NA,"","2012-11-06","","",NA,"","2013-07-01","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-06-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2016-03-11","dls","double check: alive but with disappeared date",NA,"","angi",NA,"single",NA,NA,NA,NA,NA,5.78
"81","wrth",0.0373524752882943,0.163211392792716,-0.11827571542049,0.888451059184568,0.0564464402631701,0.171114928493935,-0.557616551474703,0.572572135009374,-0.122462017337467,0.734138920105539,-2.26111696297902,0.104233994196382,1,"f",20,NA,21,NA,20,NA,20,NA,1,20,NA,1,0,NA,0,2013-04-28,2013-04-28,"new",6,6,2013,"2012-10-28",2012,"","talek",NA,"","2013-02-23","","",NA,"","2013-07-29","","",1,"","2013-06-03","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","arg",NA,"twin",NA,"d","mult","prde","wrth",0
"82","yumm",-0.170221315465498,0.155999910910147,-0.325849506174283,0.721913822830068,0.0441658872478636,0.161548089675344,-0.56989710449001,0.565583631721813,-0.122592130526163,0.734000947512541,-2.26124707616772,0.1042204328613,2,"m",34.5,3.54,34.5,3.54,34.5,3.54,14.5,19.09,0.42,14,19.8,0.41,0,0,0,2012-09-06,2012-09-15,"new",10.2,10.4,2012,"2011-11-02",2011,"","talek",NA,"","2012-01-12","","",NA,"","2012-09-18","","",0,"","2012-12-08","","",17.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2012-12-06","dls","inferred dead",NA,"","bab",NA,"twin","2","c","mult","glxy","yumm",0.3
