"","hy.id","sample.id","darting.date","dart.age.mon","mom.rank","c.ranef","c.ranef.sd","c.blups","c.expontd.blups","n.ranef","n.ranef.sd","n.blups","n.expontd.blups","g.ranef","g.ranef.sd","g.blups","g.expontd.blups","n.fas","sex","avg.cub.mins","sd.cub.mins","avg.mom.mins","sd.mom.mins","avg.overlap","sd.overlap","avg.c.mins","sd.c","prop.c","avg.n.mins","sd.n","prop.n","avg.g.mins","sd.g","prop.g","first.fas.date","last.fas.date","fas.format","first.fas.age.mon","last.fas.age.mon","first.fas.yr","dob","dob.yr","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","mom","dad","number.littermates","litrank","mom.parity","mom.parity.binary","mom.cub1","mom.cub2","fas.durtn.mon","dart.from.fas","dart.from.fas.days"
"1","alls",910,2013-02-28,15.4,-0.756097561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","bnt",915,2013-05-07,19.4,0.219512195,0.0614128447409438,0.161861636630253,-0.0942153459678405,0.910086757623483,-0.029988519131834,0.15647472832124,-0.644051510869707,0.525160414900994,-0.0452233008102874,0.759049395521979,-2.18387824645184,0.112603976744684,1,"f",33,NA,33,NA,33,NA,29,NA,0.88,28,NA,0.85,0,NA,0,2012-09-19,2012-09-19,"new",11.8,11.8,2012,"2011-09-25",2011,"","talek",NA,"","2012-02-04","","",NA,"","2012-07-21","","",0.5,"","2012-09-20","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","mono",NA,"single",NA,"a","prim","bnt",NA,0,"before",230
"3","brgr",955,2013-05-28,18.9,0.609756098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","chco",956,2015-01-20,23.9,-0.347560976,0.0969174912665429,0.107235484481213,-0.0587106994422415,0.942979534204857,0.0920838316334752,0.103196686758745,-0.521979160104398,0.593345060243319,0.625122515776156,0.393272278544815,-1.5135324298654,0.220131005598291,10,"f",22.2,10.9,23.9,9.15,22,11.19,20.1,10.47,0.91,16.4,10.55,0.75,2.2,2.3,0.1,2013-03-04,2013-08-06,"new",1.3,6.4,2013,"2013-01-22",2013,"","talek",NA,"","2013-02-12","","",NA,"","2013-12-26","","",17,"","2013-11-17","","",17,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","ffl",NA,NA,NA,"e","mult","chco",NA,5.09,"before",687
"5","cten",NA,2015-08-26,20.2,0.902439024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","decm",1278,2014-07-12,17.9,0.951219512,0.127619776701949,0.124061088601294,-0.0280084140068352,0.972380185153302,0.165591984994578,0.121750037904935,-0.448471006743295,0.638603826475945,-0.119871950536675,0.513187148549826,-2.25852689617823,0.104504317130372,9,"f",14.78,6.98,15.33,6.91,14.33,6.91,14.22,6.98,0.99,12.11,7.64,0.85,0.56,1.13,0.04,2013-02-26,2013-06-20,"new",1.5,5.2,2013,"2013-01-12",2013,"","talek",NA,"","2013-02-07","","",NA,"","2013-08-08","","",1,"","2013-10-31","","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","buar",NA,"twin",NA,"a","prim","byte","decm",3.75,"before",501
"7","fxtr",1124,2013-05-08,18.7,-0.219512195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","gala",1224,2013-09-04,19.9,1,-0.133148008205572,0.164830498846127,-0.288776198914356,0.749179853906658,-2.39198523219319e-07,0.192201295320543,-0.614063230936397,0.54114758826465,-0.0374279760585986,0.761817892656237,-2.17608292170016,0.113485191527043,1,"f",25,NA,29,NA,25,NA,3,NA,0.12,0,NA,0,0,NA,0,2012-12-16,2012-12-16,"new",11.3,11.3,2012,"2012-01-06",2012,"","talek",NA,"","2012-01-08","","",NA,"","2012-09-15","","",1,"","2012-07-17","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-04-12","dead","humans (poison - april 2014)",NA,"","hel",NA,"single",NA,"f","mult","chle","tica",0,"before",262
"9","gofa",1005,2015-05-04,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","goof",1313,2014-09-19,22.2,0.853658537,-0.0360272463724442,0.117313300335338,-0.191655437081229,0.825591287632503,0.205249954856866,0.12376803772986,-0.408813036881008,0.664438446194427,0.54315740678618,0.469787689526867,-1.59549753885538,0.202807598735849,6,"f",27.83,7.6,29,5.48,27.83,7.6,22,12.39,0.79,19.33,15.54,0.69,1.83,1.94,0.07,2013-02-26,2013-08-06,"new",3.5,8.8,2013,"2012-11-12",2012,"","talek.w",NA,"",NA,"","",NA,"",NA,"","",NA,"","2013-10-24","error","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","juno",NA,NA,NA,"c","mult","goof",NA,5.29,"before",570
"11","gsmk",918,2013-05-24,17.7,0.12195122,-0.0699182680373509,0.148738666940198,-0.225546458746135,0.798079981791314,0.100689845226232,0.163132264838692,-0.513373146511641,0.598473431661994,-0.143226413966284,0.727852661228824,-2.28188135960784,0.102091954245226,2,"f",34.5,2.12,34.5,2.12,34.5,2.12,19.5,19.09,0.57,16.5,23.33,0.48,0,0,0,2012-09-18,2012-09-21,"new",9.6,9.7,2012,"2011-12-02",2011,"","talek",NA,"","2012-01-10","","",NA,"","2012-07-18","","",0.5,"","2012-10-13","","",9.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-08-17","dls","inferred dead",NA,"","sbl",NA,"twin","2","d","mult","gsmk","tuli",0.1,"before",248
"12","keng",986,2015-05-05,13.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","lugi",983,2014-12-08,15.7,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","lyco",987,2015-03-01,23.2,-0.247560976,0.0609330620204134,0.145814823383703,-0.0946951286883709,0.909650218453341,-0.0545249136751291,0.158678882986172,-0.668587905413002,0.512431669115877,0.4150675938309,0.654596037488187,-1.72358735181066,0.178424925474453,3,"f",21,10,22.33,8.5,20.33,10.07,18.67,11.02,0.92,8,7.21,0.39,3.67,6.35,0.18,2013-06-13,2013-06-27,"new",2.6,3.1,2013,"2013-03-26",2013,"","talek",NA,"","2013-06-10","","",NA,"","2014-02-27","","",57.5,"","2013-08-19","","",4,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","bab",NA,"twin",NA,"d","mult","alta","lyco",0.46,"before",626
"15","maa",967,2014-07-30,21.6,0.073170732,0.0877122704885208,0.163688663350566,-0.0679159202202635,0.934339029294476,0.117474395340467,0.164410321950011,-0.496588596397406,0.608603313910186,-0.097938057497027,0.74150088716439,-2.23659300313858,0.106821826737168,1,"f",34,NA,34,NA,34,NA,34,NA,1,34,NA,1,0,NA,0,2013-07-01,2013-07-01,"new",8.6,8.6,2013,"2012-10-12",2012,"","talek",NA,"","2012-12-29","","",NA,"","2013-07-29","","",0,"","2013-09-16","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","art",NA,NA,NA,"h","mult","maa",NA,0,"before",394
"16","merl",959,2014-08-04,12.5,-0.747560976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","neon",501,2012-06-15,17.6,-0.555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","odd",1279,2013-06-25,17.7,0.463414634,0.0882310447648833,0.150190556955879,-0.067397145943901,0.934823866097833,0.00847099628330185,0.141211358842766,-0.605591995454572,0.545751248730646,-0.161828531761565,0.722369326808158,-2.30048347740312,0.100210382553285,2,"f",32.5,0.71,34.5,3.54,32.5,0.71,28,5.66,0.86,25.5,9.19,0.78,0,0,0,2012-09-22,2012-10-19,"new",8.6,9.5,2012,"2012-01-03",2012,"","talek",NA,"","2012-03-06","","",NA,"","2012-09-14","","",1,"","2013-04-13","error","",157,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","mgta",NA,"twin","1","a","prim","odd","tgpi",0.89,"before",276
"19","pbut",1158,2014-06-08,11.1,0.202439024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","pces",1297,2015-08-09,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","reb",1242,2013-09-14,27,-0.03030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","roos",282,2008-10-13,19.4,-0.647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","srg",NA,2016-06-01,14.1,-0.697560976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","styr",1274,2013-06-01,19.5,0.707317073,0.0572647108801694,0.147000052132298,-0.098363479828615,0.906319415050647,0.0149379009356578,0.159484704862893,-0.599125090802216,0.54929200655192,-0.166577284810566,0.721484580384374,-2.30523223045212,0.0997356363120765,5,"f",22.4,13.72,23.2,12.52,22.4,13.72,13,17.35,0.58,6.2,13.86,0.28,0,0,0,2012-09-04,2012-09-23,"new",10.6,11.3,2012,"2011-10-16",2011,"","talek",NA,"","2011-12-11","","",NA,"","2012-06-29","","",2.5,"","2012-10-27","","",3,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","pan",NA,"twin","2","e","mult","mino","styr",0.62,"before",270
"25","tast",948,2015-08-02,22.7,-0.047560976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","tnks",949,2014-08-08,16.8,0,0.134540621157836,0.11092083439469,-0.0210875695509483,0.979133218558877,0.290251490601981,0.107879840180753,-0.323811501135892,0.723386587079003,1.3332447567507,0.397901920222328,-0.805410188890862,0.446904573665874,8,"f",28.12,7.02,27.75,7.63,27.75,7.63,26.62,8.14,0.96,24.88,9.06,0.9,5.62,5.21,0.2,2013-06-14,2013-08-12,"new",3,4.9,2013,"2013-03-15",2013,"","talek",NA,"","2013-05-14","","",NA,"","2014-01-03","","",8.5,"","2013-11-27","","",2.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","alfe",NA,"single",NA,"a","prim","tnks",NA,1.94,"before",420
"27","twst",507,2012-05-07,14.2,0.393939394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","unag",NA,2016-06-04,26.8,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","wrth",1220,2014-07-12,20.4,-0.658536585,0.0373524752882943,0.163211392792716,-0.11827571542049,0.888451059184568,0.0564464402631701,0.171114928493935,-0.557616551474703,0.572572135009374,-0.122462017337467,0.734138920105539,-2.26111696297902,0.104233994196382,1,"f",20,NA,21,NA,20,NA,20,NA,1,20,NA,1,0,NA,0,2013-04-28,2013-04-28,"new",6,6,2013,"2012-10-28",2012,"","talek",NA,"","2013-02-23","","",NA,"","2013-07-29","","",1,"","2013-06-03","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","arg",NA,"twin",NA,"d","mult","prde","wrth",0,"before",440
