,sample.id,hy.id,kay.code,darting.date,mom.gps.collar,mat.care.fas,mat.care.sessions,cub.sex,age.at.darting,grooming..blup,blup.tertile,mom.id,mom.rank,cub.dob,notes,n.fec.corticost,mean.fec.corticost,sd.fec.corticost,age.mon,
1,910,alls,673,2/28/13,1,1,NA,f,sub,NA,NA,hex,-0.756097561,11/16/11,21 days gps starting when cub is about 8 monts,2,77.63,94.4,15.4,orig id from core was ALLA
2,915,bnt,690,5/7/13,0,1,NA,f,sub,NA,NA,mono,0.219512195,9/25/11,NA,NA,NA,NA,19.4,orig id from core was BTN
3,955,brgr,659,5/28/13,0,0,NA,f,sub,NA,NA,cen,0.609756098,10/30/11,check quality…failed luma,7,28.64,15.81,18.9,
4,956,chco,694,1/20/15,0,1,NA,f,sub,0.013820274,2,ffl,-0.347560976,1/22/13,NA,10,34.96,21.99,23.9,
5,NA,cten,573,8/26/15,0,1,NA,f,sub,0.723156634,3,amaz,0.902439024,12/20/13,kevin extracted…no sample id yet,3,15.78,7.29,20.2,
6,1278,decm,520,7/12/14,0,1,NA,f,sub,-0.133316066,1,buar,0.951219512,1/12/13,NA,2,16,16.28,17.9,
7,1124,fxtr,664,5/8/13,0,0,NA,f,sub,NA,NA,dra,-0.219512195,10/16/11,NA,2,179.1,33.25,18.7,
8,1224,gala,658,9/4/13,1,1,NA,f,sub,-0.577944125,1,hel,1,1/6/12,NA,4,51.87,21.59,19.9,
9,1005,gofa,574,5/4/15,0,0,NA,f,sub,NA,NA,bora,NA,12/8/13,check quality…failed luma,4,14,5.21,16.8,
10,1313,goof,519,9/19/14,1,1,NA,f,sub,-0.090711857,2,juno,0.853658537,11/12/12,NA,5,10.52,12.14,22.2,
11,918,gsmk,660,5/24/13,0,1,NA,f,sub,NA,NA,sbl,0.12195122,12/2/11,NA,2,143.08,96.17,17.7,
12,986,keng,576,5/5/15,0,0,NA,f,sub,NA,NA,aqua,0.5,3/17/14,check quality…failed luma,5,112.04,101.48,13.6,
13,983,lugi,565,12/8/14,0,1,NA,f,sub,-0.566872013,1,cart,-1,8/18/13,NA,2,36.01,12.72,15.7,
14,987,lyco,540,3/1/15,1,1,NA,f,sub,0.202494532,3,bab,-0.247560976,3/26/13,NA,7,88.28,101.65,23.2,
15,967,maa,701,7/30/14,0,1,NA,f,sub,NA,NA,art,0.073170732,10/12/12,no blup but an fas,3,221.69,94.24,21.6,
16,959,merl,533,8/4/14,1,1,NA,f,sub,NA,NA,hex,-0.747560976,7/21/13,47 days gps  starting when cub is < 1month old,5,24.95,11.64,12.5,
17,501,neon,652,6/15/12,0,1,NA,f,sub,-0.019703854,2,yog,-0.555555556,12/26/10,NA,5,105.26,149.96,17.6,
18,1279,odd,698,6/25/13,1,1,NA,f,sub,NA,NA,mgta,0.463414634,1/3/12,150 days gps starting when cub ~ 4month,1,191.13,NA,17.7,
19,1158,pbut,541,6/8/14,0,0,NA,f,sub,NA,NA,parc,0.202439024,7/4/13,NA,2,179.04,10.25,11.1,
20,1297,pces,546,8/9/15,0,0,NA,f,sub,NA,NA,twst,NA,12/2/13,"orig selection from dna_3, samp id 961, missing from box",4,40.36,23.93,20.2,
21,1242,reb,671,9/14/13,0,1,NA,f,sub,NA,NA,ali,-0.03030303,6/16/11,NA,1,83.15,NA,27,
22,282,roos,363,10/13/08,0,1,NA,f,sub,NA,NA,nav,-0.647058824,3/2/07,NA,18,80.2,66.48,19.4,
23,NA,srg,940,6/1/16,0,1,NA,f,sub,-0.09999298,2,baez,-0.697560976,3/29/15,rank from 2014,NA,NA,NA,14.1,
24,1274,styr,675,6/1/13,1,1,NA,f,sub,NA,NA,pan,0.707317073,10/16/11,NA,9,80.73,63.28,19.5,
25,948,tast,579,8/2/15,0,0,NA,f,sub,NA,NA,gel,-0.047560976,9/10/13,"orig selection from dna_3, samp id 948, missing from box",4,17.11,7.27,22.7,
26,1221,tato,524,2/19/14,0,0,NA,f,sub,NA,NA,loki,0.756097561,11/25/12,NA,5,222.01,293.22,14.8,FAILED library prep
27,949,tnks,555,8/8/14,0,1,NA,f,sub,0.436746517,3,alfe,0,3/15/13,NA,1,19.62,NA,16.8,
28,507,twst,627,5/7/12,0,1,NA,f,sub,0.521278867,3,adon,0.393939394,3/3/11,NA,9,51.1,43.98,14.2,
29,NA,unag,589,6/4/16,0,0,NA,f,adult,NA,NA,hrpy,0.65,3/12/14,27months,1,19.78,NA,26.8,
30,1220,wrth,545,7/12/14,0,1,NA,f,sub,-0.183932286,1,arg,-0.658536585,10/28/12,NA,3,100.49,147.61,20.4,